Sample_name16S,Incubation,Soil,Treatment
1_1,anaerobic,madras,untreated
1_2,anaerobic,madras,untreated
1_3,anaerobic,madras,untreated
2_1,anaerobic,madras,DADS_1gal_A
2_2,anaerobic,madras,DADS_1gal_A
2_3,anaerobic,madras,DADS_1gal_A
3_1,anaerobic,tulelake,untreated
3_2,anaerobic,tulelake,untreated
3_3,anaerobic,tulelake,untreated
4_1,anaerobic,tulelake,DADS_1gal_A
4_2,anaerobic,tulelake,DADS_1gal_A
4_3,anaerobic,tulelake,DADS_1gal_A
5_1,aerobic,madras,untreated
5_2,aerobic,madras,untreated
5_3,aerobic,madras,untreated
6_1,aerobic,madras,DADS_1gal_A
6_2,aerobic,madras,DADS_1gal_A
6_3,aerobic,madras,DADS_1gal_A
7_1,aerobic,tulelake,untreated
7_2,aerobic,tulelake,untreated
7_3,aerobic,tulelake,untreated
8_1,aerobic,tulelake,DADS_1gal_A
8_2,aerobic,tulelake,DADS_1gal_A
8_3,aerobic,tulelake,DADS_1gal_A
